Class,Year,Age1,Age2,AgeB,Sex,Place,BoatType,T,Time
Endeavour,2023,52,50,102,Male,1,Kayak,08:53:13,8.89
Endeavour,2023,20,26,46,Male,2,Kayak,09:05:26,9.09
Endeavour,2023,27,23,50,Male,3,Kayak,09:18:40,9.31
Endeavour,2023,17,22,39,Male,4,Kayak,09:38:49,9.65
Endeavour,2023,22,35,57,Male,5,Kayak,09:41:01,9.68
Endeavour,2023,69,62,131,Male,6,Kayak,09:51:11,9.85
Endeavour,2023,28,16,44,Mixed,7,Kayak,10:32:09,10.54
Endeavour,2023,34,32,66,Mixed,8,Kayak,10:40:04,10.67
Endeavour,2023,55,20,75,Male,9,Kayak,10:58:49,10.98
Endeavour,2023,56,54,110,Male,10,Kayak,11:09:31,11.16
Endeavour,2023,59,59,118,Male,11,Kayak,11:25:04,11.42
Endeavour,2023,56,60,116,Ladies,12,Kayak,11:56:38,11.94
Endeavour,2023,63,61,124,Male,13,Kayak,12:49:46,12.83
Endeavour,2023,62,56,118,Mixed,14,Kayak,12:51:22,12.86
Endeavour,2023,30,56,86,Mixed,15,Kayak,13:18:01,13.30
Endeavour,2022,22,21,43,Ladies,1,Kayak,18:22:26,18.37
Endeavour,2022,30,16,46,Male,2,Kayak,18:41:35,18.69
Endeavour,2022,58,49,107,Male,3,Kayak,19:46:52,19.78
Endeavour,2022,62,27,89,Ladies,4,Kayak,20:07:38,20.13
Endeavour,2022,18,19,37,Mixed,5,Kayak,20:31:13,20.52
Endeavour,2022,65,29,94,Male,6,Kayak,23:20:01,23.33
Endeavour,2022,61,32,93,Mixed,7,Kayak,23:51:07,23.85
Endeavour,2022,23,17,40,Mixed,8,Kayak,24:32:21,24.54
Endeavour,2022,54,54,108,Male,9,Kayak,24:52:54,24.88
Endeavour,2022,52,19,71,Ladies,10,Kayak,25:18:05,25.30
Endeavour,2022,25,21,46,Male,11,Kayak,26:06:24,26.11
Endeavour,2022,34,30,64,Mixed,12,Kayak,27:59:38,27.99
Endeavour,2019,18,19,37,Mixed,1,Kayak,22:11:51,22.20
Endeavour,2019,24,20,44,Male,2,Kayak,22:50:08,22.84
Endeavour,2019,24,20,44,Mixed,3,Kayak,22:51:45,22.86
Endeavour,2019,16,27,43,Mixed,4,Kayak,23:06:48,23.11
Endeavour,2019,54,55,109,Mixed,5,Kayak,23:48:43,23.81
Endeavour,2019,18,20,38,Male,6,Kayak,24:04:49,24.08
Endeavour,2019,51,53,104,Mixed,7,Kayak,24:48:14,24.80
Endeavour,2019,30,17,47,Mixed,8,Kayak,25:12:46,25.21
Endeavour,2019,51,55,106,Ladies,9,Kayak,25:48:16,25.80
Endeavour,2019,58,49,107,Mixed,10,Kayak,26:08:16,26.14
Endeavour,2019,56,57,113,Mixed,11,Kayak,26:29:51,26.50
Endeavour,2019,49,53,102,Male,12,Kayak,26:58:38,26.98
Endeavour,2019,57,53,110,Male,13,Kayak,27:24:18,27.41
Endeavour,2019,51,49,100,Male,14,Kayak,28:09:50,28.16
Endeavour,2019,48,19,67,Male,15,Folding Boat,29:21:41,29.36
Endeavour,2017,43,49,92,Mixed,1,Kayak,19:35:34,19.59
Endeavour,2017,20,18,38,Mixed,2,Kayak,21:33:01,21.55
Endeavour,2017,27,18,45,Male,3,Kayak,23:08:50,23.15
Endeavour,2017,53,22,75,Male,4,Kayak,23:43:36,23.73
Endeavour,2017,50,55,105,Mixed,5,Kayak,23:57:07,23.95
Endeavour,2017,26,57,83,Male,6,Kayak,24:49:20,24.82
Endeavour,2017,34,55,89,Male,7,Kayak,25:28:08,25.47
Endeavour,2017,68,48,116,Mixed,8,Kayak,25:33:30,25.56
Endeavour,2017,53,50,103,Male,9,Kayak,26:03:03,26.05
Endeavour,2017,52,30,82,Ladies,10,Kayak,26:45:43,26.76
Endeavour,2017,45,56,101,Male,11,Kayak,26:46:33,26.78
Endeavour,2017,53,48,101,Male,12,Kayak,27:16:43,27.28
Endeavour,2017,50,45,95,Male,13,Kayak,27:17:01,27.28
Endeavour,2017,45,50,95,Male,14,Kayak,27:56:29,27.94
Endeavour,2017,53,50,103,Male,15,Kayak,28:48:07,28.80
Endeavour,2017,53,56,109,Mixed,16,Kayak,30:39:50,30.66
Endeavour,2017,46,32,78,Mixed,17,Kayak,30:49:20,30.82
Endeavour,2017,34,57,91,Male,18,Kayak,30:58:24,30.97
Endeavour,2017,40,29,69,Male,19,Kayak,31:07:52,31.13
Endeavour,2016,52,52,104,Male,1,Canadian,17:40:09,17.67
Endeavour,2016,21,23,44,Male,2,Kayak,17:43:41,17.73
Endeavour,2016,16,20,36,Male,3,Kayak,18:14:14,18.24
Endeavour,2016,62,58,120,Male,4,Kayak,20:02:41,20.04
Endeavour,2016,22,17,39,Male,5,Kayak,20:40:19,20.67
Endeavour,2016,31,30,61,Male,6,Kayak,20:42:21,20.71
Endeavour,2016,52,49,101,Male,7,Canadian,21:05:42,21.10
Endeavour,2016,44,48,92,Male,8,Kayak,21:19:17,21.32
Endeavour,2016,52,49,101,Male,9,Kayak,21:41:07,21.69
Endeavour,2016,31,36,67,Male,10,Kayak,21:54:14,21.90
Endeavour,2016,70,26,96,Mixed,11,Kayak,22:07:26,22.12
Endeavour,2016,60,52,112,Male,12,Kayak,22:37:29,22.62
