Class,Year,Age1,Age2,Sex1,Sex2,Place,BoatType,Time,Dtime
Endeavour,2023,52,50,Male,Male,1,Kayak,08:53:13,8.89
Endeavour,2023,20,26,Male,Male,2,Kayak,09:05:26,9.09
Endeavour,2023,27,23,Male,Male,3,Kayak,09:18:40,9.31
Endeavour,2023,17,22,Male,Male,4,Kayak,09:38:49,9.65
Endeavour,2023,22,35,Male,Male,5,Kayak,09:41:01,9.68
Endeavour,2023,69,62,Male,Male,6,Kayak,09:51:11,9.85
Endeavour,2023,28,16,Male,Female,7,Kayak,10:32:09,10.54
Endeavour,2023,34,32,Male,Female,8,Kayak,10:40:04,10.67
Endeavour,2023,55,20,Male,Male,9,Kayak,10:58:49,10.98
Endeavour,2023,56,54,Male,Male,10,Kayak,11:09:31,11.16
Endeavour,2023,59,59,Male,Male,11,Kayak,11:25:04,11.42
Endeavour,2023,56,60,Female,Female,12,Kayak,11:56:38,11.94
Endeavour,2023,63,61,Male,Male,13,Kayak,12:49:46,12.83
Endeavour,2023,62,56,Male,Female,14,Kayak,12:51:22,12.86
Endeavour,2023,30,56,Female,Male,15,Kayak,13:18:01,13.3
Endeavour,2022,22,21,Female,Female,1,Kayak,18:22:26,18.37
Endeavour,2022,30,16,Male,Male,2,Kayak,18:41:35,18.69
Endeavour,2022,58,49,Male,Male,3,Kayak,19:46:52,19.78
Endeavour,2022,62,27,Female,Female,4,Kayak,20:07:38,20.13
Endeavour,2022,18,19,Female,Male,5,Kayak,20:31:13,20.52
Endeavour,2022,65,29,Male,Male,6,Kayak,23:20:01,23.33
Endeavour,2022,61,32,Male,Female,7,Kayak,23:51:07,23.85
Endeavour,2022,23,17,Female,Male,8,Kayak,24:32:21,24.54
Endeavour,2022,54,54,Male,Male,9,Kayak,24:52:54,24.88
Endeavour,2022,52,19,Female,Female,10,Kayak,25:18:05,25.3
Endeavour,2022,25,21,Male,Male,11,Kayak,26:06:24,26.11
Endeavour,2022,34,30,Male,Female,12,Kayak,27:59:38,27.99
Endeavour,2019,18,19,Female,Male,1,Kayak,22:11:51,22.2
Endeavour,2019,24,20,Male,Male,2,Kayak,22:50:08,22.84
Endeavour,2019,24,20,Male,Female,3,Kayak,22:51:45,22.86
Endeavour,2019,16,27,Female,Male,4,Kayak,23:06:48,23.11
Endeavour,2019,54,55,Male,Female,5,Kayak,23:48:43,23.81
Endeavour,2019,18,20,Male,Male,6,Kayak,24:04:49,24.08
Endeavour,2019,51,53,Male,Female,7,Kayak,24:48:14,24.8
Endeavour,2019,30,17,Female,Male,8,Kayak,25:12:46,25.21
Endeavour,2019,51,55,Female,Female,9,Kayak,25:48:16,25.8
Endeavour,2019,58,49,Male,Female,10,Kayak,26:08:16,26.14
Endeavour,2019,56,57,Male,Female,11,Kayak,26:29:51,26.5
Endeavour,2019,49,53,Male,Male,12,Kayak,26:58:38,26.98
Endeavour,2019,57,53,Male,Male,13,Kayak,27:24:18,27.41
Endeavour,2019,51,49,Male,Male,14,Kayak,28:09:50,28.16
Endeavour,2019,48,19,Male,Male,15,Folding Boat,29:21:41,29.36
Endeavour,2017,43,49,Male,Female,1,Kayak,19:35:34,19.59
Endeavour,2017,20,18,Male,Female,2,Kayak,21:33:01,21.55
Endeavour,2017,27,18,Male,Male,3,Kayak,23:08:50,23.15
Endeavour,2017,53,22,Male,Male,4,Kayak,23:43:36,23.73
Endeavour,2017,50,55,Male,Female,5,Kayak,23:57:07,23.95
Endeavour,2017,26,57,Male,Male,6,Kayak,24:49:20,24.82
Endeavour,2017,34,55,Male,Male,7,Kayak,25:28:08,25.47
Endeavour,2017,68,48,Male,Female,8,Kayak,25:33:30,25.56
Endeavour,2017,53,50,Male,Male,9,Kayak,26:03:03,26.05
Endeavour,2017,52,30,Female,Female,10,Kayak,26:45:43,26.76
Endeavour,2017,45,56,Male,Male,11,Kayak,26:46:33,26.78
Endeavour,2017,53,48,Male,Male,12,Kayak,27:16:43,27.28
Endeavour,2017,50,45,Male,Male,13,Kayak,27:17:01,27.28
Endeavour,2017,45,50,Male,Male,14,Kayak,27:56:29,27.94
Endeavour,2017,53,50,Male,Male,15,Kayak,28:48:07,28.8
Endeavour,2017,53,56,Male,Female,16,Kayak,30:39:50,30.66
Endeavour,2017,46,32,Male,Female,17,Kayak,30:49:20,30.82
Endeavour,2017,34,57,Male,Male,18,Kayak,30:58:24,30.97
Endeavour,2017,40,29,Male,Male,19,Kayak,31:07:52,31.13
Endeavour,2016,52,52,Male,Male,1,Canadian,17:40:09,17.67
Endeavour,2016,21,23,Male,Male,2,Kayak,17:43:41,17.73
Endeavour,2016,16,20,Male,Male,3,Kayak,18:14:14,18.24
Endeavour,2016,62,58,Male,Male,4,Kayak,20:02:41,20.04
