 ,Name,Year,Races,WatersideA,WatersideB,WatersideC,WatersideD,DWSenior,DWJunior,DWEndeavour,DWVetJunior,DWSingles
1990 - Abslom P & Belcher C,Abslom P & Belcher C,1990,3,2.28,3.28,4.02,0,0,0,0,0,0
1990 - Ackerman G & Cooke R,Ackerman G & Cooke R,1990,2,2.55,0,4.32,0,0,0,0,0,0
1990 - Adam G & Mountney R,Adam G & Mountney R,1990,1,0,0,0,6.38,0,0,0,0,0
1990 - Adams M R & Collett A F,Adams M R & Collett A F,1990,2,2.52,0,0,0,0,0,0,20.77,0
1990 - Adams S & Carr M,Adams S & Carr M,1990,2,2.57,0,4.07,0,0,0,0,0,0
1990 - Addington Lesley,Addington Lesley,1990,2,3.5,5.07,0,0,0,0,0,0,0
1990 - Adshead B R & Callaghan I S,Adshead B R & Callaghan I S,1990,1,0,0,0,0,49.82,0,0,0,0
1990 - Ager Richard,Ager Richard,1990,1,2.27,0,0,0,0,0,0,0,0
1990 - Ager Richard & Harris,Ager Richard & Harris,1990,1,0,0,3.13,0,0,0,0,0,0
1990 - Agus R & Turner P A,Agus R & Turner P A,1990,4,2.57,3.68,4.27,0,0,22.27,0,0,0
1990 - Aitken M & Perrett Bernard,Aitken M & Perrett Bernard,1990,1,2.05,0,0,0,0,0,0,0,0
1990 - Alberto D & Faunt A,Alberto D & Faunt A,1990,1,1.97,0,0,0,0,0,0,0,0
1990 - Allard S A & Lipton J M,Allard S A & Lipton J M,1990,3,2.37,3.02,0,0,0,20.02,0,0,0
1990 - Allen P D & Skelhorn D A,Allen P D & Skelhorn D A,1990,2,0,0,0,6.55,24.63,0,0,0,0
1990 - Amos S J & Hillig P,Amos S J & Hillig P,1990,1,0,0,0,0,20.63,0,0,0,0
1990 - Amos S J & Wilkinson K,Amos S J & Wilkinson K,1990,1,2.22,0,0,0,0,0,0,0,0
1990 - Anderson P & Willliams C,Anderson P & Willliams C,1990,1,0,0,3.93,0,0,0,0,0,0
1990 - Anderson Shaun & Creek J,Anderson Shaun & Creek J,1990,1,0,0,0,0,25.85,0,0,0,0
1990 - Appleby C,Appleby C,1990,1,2.42,0,0,0,0,0,0,0,0
1990 - Archer N & Greasby C C,Archer N & Greasby C C,1990,1,0,0,0,0,26.98,0,0,0,0
1990 - Armstrong C A & Green S M,Armstrong C A & Green S M,1990,2,0,4.05,0,0,0,21.63,0,0,0
1990 - Ashby G,Ashby G,1990,5,2.63,3.9,4.73,7.45,0,0,0,0,22.88
1990 - Ashcroft A P & Norman M,Ashcroft A P & Norman M,1990,3,2.42,0,0,6.58,25.65,0,0,0,0
1990 - Ayers P F & Taylor A,Ayers P F & Taylor A,1990,1,0,0,0,0,50.85,0,0,0,0
1990 - Aylett L & Nicholson Leon,Aylett L & Nicholson Leon,1990,1,0,3.35,0,0,0,0,0,0,0
1990 - Ayling H & Smith H,Ayling H & Smith H,1990,4,2.87,4.02,4.62,7.92,0,0,0,0,0
1990 - Ayling Tracey & Smith Helen,Ayling Tracey & Smith Helen,1990,1,0,0,0,0,0,23.57,0,0,0
1990 - Bacon T & Rooney B,Bacon T & Rooney B,1990,1,2.13,0,0,0,0,0,0,0,0
1990 - Badger J F & Toomey Paul,Badger J F & Toomey Paul,1990,4,2.13,3.02,3.77,6.4,0,0,0,0,0
1990 - Bagshaw Steve & Hewlings David,Bagshaw Steve & Hewlings David,1990,1,2.05,0,0,0,0,0,0,0,0
1990 - Baguley J,Baguley J,1990,3,2.73,0,4.88,0,0,0,0,0,23.87
1990 - Bailey P & McDonoVon D I,Bailey P & McDonoVon D I,1990,1,0,0,0,0,27.47,0,0,0,0
1990 - Bainbridge I C K & Proctor A J,Bainbridge I C K & Proctor A J,1990,1,0,0,0,0,34.87,0,0,0,0
1990 - Baker A & Stagg Richard V,Baker A & Stagg Richard V,1990,1,0,0,0,5.98,0,0,0,0,0
1990 - Baker S & Childs R,Baker S & Childs R,1990,3,2.02,2.65,3.42,0,0,0,0,0,0
1990 - Baldwin A & McDiarmid N,Baldwin A & McDiarmid N,1990,1,0,0,0,0,27.02,0,0,0,0
1990 - Baldwin S & Ernst M,Baldwin S & Ernst M,1990,1,0,0,0,0,25.43,0,0,0,0
1990 - Bales A & Hensman B,Bales A & Hensman B,1990,3,3.37,5,5.53,0,0,0,0,0,0
1990 - Bales Andrea & Hensman Benita Louise,Bales Andrea & Hensman Benita Louise,1990,1,0,0,0,0,0,27.6,0,0,0
1990 - Bales C & Boddy P,Bales C & Boddy P,1990,1,0,0,4.82,0,0,0,0,0,0
1990 - Bales R & Lemin Jim,Bales R & Lemin Jim,1990,1,0,0,0,0,38.22,0,0,0,0
1990 - Ball K R & Grewcock I P,Ball K R & Grewcock I P,1990,1,2.23,0,0,0,0,0,0,0,0
1990 - Balos R & Lemin Jim,Balos R & Lemin Jim,1990,1,3.58,0,0,0,0,0,0,0,0
1990 - Banks S W,Banks S W,1990,5,2.58,3.48,4.35,6.8,0,0,0,0,22.08
1990 - Bannister T & Jackson P G,Bannister T & Jackson P G,1990,4,2.53,3.72,4.43,0,30.18,0,0,0,0
1990 - Barham P N & Squires A,Barham P N & Squires A,1990,1,0,0,0,0,0,23.03,0,0,0
1990 - Bashford Karen Marisa & Welch F W J,Bashford Karen Marisa & Welch F W J,1990,1,0,0,0,0,0,0,0,23.28,0
1990 - Baynham C S & Peacock M R,Baynham C S & Peacock M R,1990,1,0,0,0,0,0,20.77,0,0,0
