BoatType,Ladies,Year,Military,Veteran,Position,NameUnsorted,Name,Club,Club1,C1,Class,SubClass,Time,Trophies,Record,Notes,Flow,Country,BoatDesign,Finish
Kayak,Male,1948,Civilian,Senior,0,South David & Attrill Frank,Attrill Frank & South David,Chippenham Sea Cadets,Chippenham Sea Cadets,11,Senior,,76:05:00,,,Whitsun,,,,
Kayak,Male,1948,Civilian,Senior,0,Parker Roy & Bushey Geoffrey,Bushey Geoffrey & Parker Roy,Chippenham Sea Cadets,Chippenham Sea Cadets,11,Senior,,76:05:00,,,Whitsun,,,,
Canadian,Male,1948,Civilian,Senior,0,Walters Brian & Smith Brian,Smith Brian & Walters Brian,1st Devices Rover Scout,1st Devices Rover Scout,2,Senior,,81:50:00,,,,,,,
Canadian,Male,1948,Civilian,Senior,0,Brown Peter & Jones Larry,Brown Peter & Jones Larry,1st Devices Rover Scout,1st Devices Rover Scout,2,Senior,,81:50:00,,,,,,,
Kayak,Male,1949,Civilian,Senior,0,Flint George & Pay Mike,Flint George & Pay Mike,Richmond,Richmond,265,Senior,,49:12:00,,,,,,,
Kayak,Male,1949,Civilian,Senior,0,Luzmore Frank & Ross Henry,Luzmore Frank & Ross Henry,Richmond,Richmond,265,Senior,,49:53:00,,,,,,,
Kayak,Male,1949,Civilian,Senior,0,Watson G M & Wills V W,Watson G M & Wills V W,145 Bristol Sea Scouts,145 Bristol Sea Scouts,1,Senior,Scouts,53:10:00,,,,,,,
Kayak,Male,1950,Civilian,Senior,1,Ross Henry & Webb Robert,Ross Henry & Webb Robert,Richmond,Richmond,265,Senior,,34:52:00,,,,,,,
Kayak,Male,1950,Civilian,Senior,2,Bruce H G & Litherland J F,Bruce H G & Litherland J F,RM Amphibious School,RM Amphibious School,4,Senior,,35:12:00,,,,,,,
Kayak,Male,1950,Civilian,Senior,3,Keane D W & Davies A,Davies A & Keane D W,3rd Hillingdon Rover Sea Scouts,3rd Hillingdon Rover Sea Scouts,2,Senior,Scouts,40:11:00,,,,,,,
Kayak,Male,1950,Navy,Senior,4,Rawll P L & Smith T,Rawll P L & Smith T,RM Amphibious School,RM Amphibious School,4,Senior,,40:37:00,,,,,,,
Kayak,Male,1950,Navy Reserve,Senior,5,Newburn A K & Wride J H,Newburn A K & Wride J H,Royal Marines Forces Volunteer Reserve,Royal Marines Forces Volunteer Reserve,9,Senior,,55:31:00,,,,,,,
Kayak,Male,1950,Navy Reserve,Senior,6,Russell R F & Fermiloe D H,Fermiloe D H & Russell R F,Royal Marines Forces Volunteer Reserve,Royal Marines Forces Volunteer Reserve,9,Senior,,55:46:00,,,,,,,
Folding Boat,Male,1950,Civilian,Senior,7,Draper E L & Flood E H,Draper E L & Flood E H,Southampton Coalporters A R Club,Southampton Coalporters A R Club,1,Senior,,56:31:00,,,,,,,
Kayak,Male,1950,Civilian,Senior,8,Townsend A & Arthur L,Arthur L & Townsend A,Middlesex Hosptial,Middlesex Hosptial,1,Senior,,58:09:00,,,,,,,
Kayak,Male,1950,Civilian,Senior,9,Tofield R B & Andrews H,Andrews H & Tofield R B,Inland Waterways,Inland Waterways,1,Senior,,59:26:00,,,,,,,
Kayak,Male,1950,Civilian,Senior,10,Danger G W & Danger A C,Danger A C & Danger G W,Liverpool University,Liverpool University,6,Senior,University,62:30:00,,,,,,,
Folding Boat,Male,1951,Army Reserve,Senior,1,Dansie Oliver & Dry R (Bert),Dansie Oliver & Dry R (Bert),21 (Artists),21 (Artists),62,Senior,,24:07:00,Tyne,,,,,,
Kayak,Male,1951,Civilian,Senior,2,Bruce H G & Litherland J F,Bruce H G & Litherland J F,RM Amphibious School,RM Amphibious School,4,Senior,,24:21:00,,,,,,,
Kayak,Male,1951,Navy,Senior,3,Rawll P L & Lavender,Lavender & Rawll P L,RM Amphibious School,RM Amphibious School,4,Senior,,25:47:00,,,,,,,
Kayak,Male,1951,Civilian,Senior,4,Houghton A & Simmens,Houghton A & Simmens,Royal Inst of Chemistry,Royal Inst of Chemistry,1,Senior,,26:38:00,,,,,,,
Folding Boat,Male,1951,Army Reserve,Senior,5,France R & Hayim J H,France R & Hayim J H,21 (Artists),21 (Artists),62,Senior,,27:52:00,,,,,,,
Kayak,Male,1951,Civilian,Senior,6,Keane D W & Davies A,Davies A & Keane D W,3rd Hillingdon Rover Sea Scouts,3rd Hillingdon Rover Sea Scouts,2,Senior,Scouts,28:42:00,,,,,,,
Kayak,Male,1951,Navy,Senior,7,Keane A M & Bacon C,Bacon C & Keane A M,HMS Excellent,HMS Excellent,1,Senior,,32:56:00,,,,,,,
Kayak,Male,1951,Civilian,Senior,8,Garnett O & Harris E,Garnett O & Harris E,Romford,Romford,1,Senior,,33:01:00,,,,,,,
Kayak,Male,1951,Navy Reserve,Senior,9,Newburn A K & Wride J H,Newburn A K & Wride J H,Royal Marines Forces Volunteer Reserve,Royal Marines Forces Volunteer Reserve,9,Senior,,33:32:00,,,,,,,
Kayak,Male,1951,Civilian,Senior,10,Gautier Charles & Simmons Anthony,Gautier Charles & Simmons Anthony,Western Bay,Western Bay,3,Senior,,37:04:00,,,,,,,
Kayak,Male,1951,Navy,Senior,11,McKinlay & Acton,Acton & McKinlay,HMS Lochinvar,HMS Lochinvar,1,Senior,,38:15:00,,,,,,,
Kayak,Male,1951,Navy Reserve,Senior,12,Russell R F & Fermiloe D H,Fermiloe D H & Russell R F,Royal Marines Forces Volunteer Reserve,Royal Marines Forces Volunteer Reserve,9,Senior,,50:24:00,,,,,,,
Kayak,Male,1951,RAF,Senior,13,Fletcher & Douglas,Douglas & Fletcher,RAF Leuchars,RAF Leuchars,1,Senior,,81:15:00,,,,,,,
Kayak,Male,1952,Civilian,Senior,1,Ross Henry & Wilkins Michael Laurence,Ross Henry & Wilkins Michael Laurence,Richmond,Richmond,265,Senior,,24:51:00,,,,,,,
Folding Boat,Male,1952,Army Reserve,Senior,2,Hayim J H & Terry M,Hayim J H & Terry M,21 (Artists),21 (Artists),62,Senior,,31:45:00,Tyne,,,,,,
Folding Boat,Male,1952,Civilian,Senior,3,Simmons Anthony & Jackson John B,Jackson John B & Simmons Anthony,Western Bay,Western Bay,3,Senior,,34:25:00,,,,,,,
Folding Boat,Male,1952,Civilian,Senior,4,Stephehs A W & Toyne S,Stephehs A W & Toyne S,Bristol University,Bristol University,4,Senior,University,40:31:00,,,,,,,
Kayak,Male,1952,Civilian,Junior,0,Walker Terry & Guy John,Guy John & Walker Terry,Chippenham Sea Cadets,Chippenham Sea Cadets,11,Junior,,72:00:00,,,Unofficial as under age at 15,,,,
Kayak,Male,1952,Civilian,Junior,0,Francis A & Moat G,Francis A & Moat G,Chippenham Sea Cadets,Chippenham Sea Cadets,11,Junior,,74:00:00,,,Not awarded 1st place as did not fully comply with all rules,,,,
Folding Boat,Male,1953,Army Reserve,Senior,1,Junor Neville K & Marchant Edward C,Junor Neville K & Marchant Edward C,21 (Artists),21 (Artists),62,Senior,,30:47:00,Tyne,,,,,,
Folding Boat,Male,1953,Army Reserve,Senior,2,Stearn Henry & Davis Edward W,Davis Edward W & Stearn Henry,21 (Artists),21 (Artists),62,Senior,,31:22:00,,,,,,,
Kayak,Male,1953,Civilian,Junior,1,Walker T & Walker D,Walker D & Walker T,Chippenham Sea Cadets,Chippenham Sea Cadets,11,Junior,,37:18:00,,,,,,,
Kayak,Male,1953,Civilian,Junior,1,Harlow R & Millard,Harlow R & Millard,Chippenham Sea Cadets,Chippenham Sea Cadets,11,Junior,,37:18:00,,,,,,,
Kayak,Male,1954,Navy,Senior,1,Mitchell David & Syrad Stewart,Mitchell David & Syrad Stewart,Royal Marines,Royal Marines,187,Senior,,28:13:00,,,,,,,
Kayak,Male,1954,Civilian,Junior,1,Graves G H & Walker W H,Graves G H & Walker W H,3rd Hillingdon Sea Scouts,3rd Hillingdon Sea Scouts,1,Junior,,28:32:00,,,,,,,
Kayak,Male,1954,Navy,Senior,2,Richardson Jack & White G W,Richardson Jack & White G W,Royal Marines,Royal Marines,187,Senior,,30:10:00,,,,,,,
Kayak,Male,1954,Civilian,Junior,2,Walker T & Walker D,Walker D & Walker T,Chippenham Sea Cadets,Chippenham Sea Cadets,11,Junior,,33:32:00,,,,,,,
Folding Boat,Male,1954,Navy,Senior,3,Wright Robert E & Belcher K,Belcher K & Wright Robert E,RNAS Gosport,RNAS Gosport,1,Senior,,45:13:00,Tyne,,,,,,
