Year,Flow,Start Time,Crew,Distance,Clock,T,Time,CheckPoint,Speed,SplitTimePoint,SplitSpeed,Section,SpeedIncrease
2023,142,05:51,MouleSharpe142,12.06,01:30:51,1.51,1.51,Pewsey,7.96,1 Wotten Rivers A, ,RiverSpeedIncrease,1.48
2023,142,05:51,MouleSharpe142,25.3,03:24:31,3.41,3.41,Hungerford,7.42,2 Newbury A,7.23,TidewaySpeedIncrease,1.12
2023,142,05:51,MouleSharpe142,34,04:42:17,4.70,4.70,Newbury,7.23,3 Reading A,7.89,,
2023,142,05:51,MouleSharpe142,43,05:51:07,5.85,5.85,Aldermaston,7.35,4 Old Windsor A,7.58,,
2023,142,05:51,MouleSharpe142,54.6,07:18:53,7.31,7.31,Reading,7.46,5 Teddington A,8.71,,
2023,142,05:51,MouleSharpe142,61,08:07:26,8.12,8.12,Marsh,7.51,6 Westminster A,9.83,,
2023,142,05:51,MouleSharpe142,70.5,09:12:15,9.20,9.20,Marlow,7.66,,,,
2023,142,05:51,MouleSharpe142,79,10:11:03,10.18,10.18,Bray,7.76,,,,
2023,142,05:51,MouleSharpe142,87,11:11:17,11.19,11.19,Old Windsor,7.78,,,,
2023,142,05:51,MouleSharpe142,97,12:19:47,12.33,12.33,Shepperton,7.87,,,,
2023,142,05:51,MouleSharpe142,108,13:36:15,13.60,13.60,Teddington,7.94,,,,
2023,142,05:51,MouleSharpe142,125,15:19:35,15.33,15.33,Westminster,8.16,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
