Year,a_Pewsey,b_Hungerford,c_Newbury,d_Aldermaston,e_Reading,f_Marsh,g_Marlow,h_Bray,i_OldWindsor,j_Shepperton,k_Teddington,l_Tideway,
2008,2,5,7,4,9,2,2,6,8,1,11, ,
2009,,,,4,4,4,6,4,9,8,3, ,
2010,1,2,1,3,7,10,11,5,5,2,2, ,
2011,,,2,3,3,1,13,5,3,2,5, ,
2012,,1,,4,6,4,9,5,6,6,3, ,
2013,1,5,1,5,14,4,12,6,9,3,0,1,
2014, ,2,1, ,5,5,13,4,9,5,7, ,
2015,1,1,4, ,4,3,10,4,4,6,9, ,
2016, ,4, ,3,3,2,9,3,6,3,2, ,
2017,1, ,1,2,4,7,5,7,6,3,1, ,
2019, , ,1,1,3,6,4,0,4,8,4, ,
2020,,,,,,,,,,,,,
2021,,,,,,,,,,,,,
2022,,,,,,,,,,,,,
2023,,1,,1,1,2,1,,2,,,,
2024,,,,1,9,8,3,,2,1,1,,25
