Year,Distance,Y_2000,Y_1975,Y_1979,Y_1980,Y_1994,Y_2023,Y_1989,Y_1978,Y_1977,Y_1981,Y_1984,Y_2011F,Y_2011
Flow,,229,205,187,158,155,142,99.1,90.5,80,70.2,28.1,23,23
Start Time,,05:51,Night Run,7am,7.17am,7.08am,,,Night Run,15:40,14:22:08,7am,07:19:00,18:04:50
Crew,,Baker Capps,Greenham Perrett,Cornish  Greenham,Cornish  Greenham,Phillips Lewis,Tom Keith,Wells Wells,Cornish Greenham,Greenaway Fowler,Greenham Belcher,Cornish  Viljoen,Lawler Brown,King  Hendron
Devizes,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
Pewsey,11.5,01:34:00,,,,,01:31:00,01:30:00,,,,,01:24:00,
Wooton Rivers,15,01:59:00,02:16:00,02:00:00,02:00:00,02:02:00,01:53:00,01:54:00,02:00:00,01:56:00,02:09:00,02:00:00,,
Croften,18,02:40:00,03:05:00,02:35:00,02:38:00,,02:30:45,02:30:00,02:38:00,,02:45:00,02:39:00,,
Froxfield,23.5,,03:43:00,03:07:00,03:08:00,,03:02:30,03:01:00,03:11:00,,03:18:00,03:11:00,,
Hungerford,25,03:32:00,04:11:00,03:31:00,03:31:00,,03:25:00,,03:36:00,,03:43:00,03:36:00,03:16:00,03:41:10
Dun Mill,26.5,03:43:00,,,,03:39:00,03:33:00,03:30:00,,,,,,
Kintbury,29,04:02:00,04:45:00,04:01:00,04:01:00,,03:53:00,03:51:00,04:07:00,,04:12:00,04:06:00,,
Hamstead,31,04:23:00,05:09:00,04:20:00,04:20:00,,04:08:30,,04:27:00,,04:32:00,04:26:00,,
Newbury,34,04:47:00,05:40:00,04:47:00,04:46:00,04:53:00,04:41:30,04:36:00,04:55:00,04:55:00,05:01:00,04:55:00,04:23:00,05:03:30
Woolhapton,41,05:44:00,06:44:00,05:44:00,05:43:00,,05:35:00,,05:50:00,,,05:49:00,,
Aldermaston,43,06:03:00,07:04:00,06:00:00,06:01:00,05:58:00,05:51:00,05:49:00,06:10:00,,06:20:00,06:06:00,05:33:00,06:19:10
Fobney,51,,,07:05:00,07:07:00,,06:55:00,,07:19:00,,,,,
Blakes,54,07:29:00,08:47:00,07:24:00,07:27:00,,07:14:00,07:15:00,07:40:00,,07:50:00,07:37:00,,
Reading,54,,,,,,07:19:00,,,,,,07:02:00,07:58:10
Sonning,56,07:37:00,,07:39:00,07:43:00,,07:31:30,07:30:00,07:57:00,,,07:56:00,,
Shiplake,58,07:55:00,09:26:00,07:57:00,08:06:00,,07:49:00,07:47:00,08:21:00,,08:30:00,,,
Marsh,61,08:14:00,09:45:00,08:16:00,08:25:00,08:23:00,08:07:00,08:05:00,08:41:00,,08:59:00,08:40:00,07:57:00,08:59:10
Hambledon,64.5,08:38:00,10:10:00,08:27:00,08:44:00,,08:29:30,08:32:00,09:06:00,,09:22:00,,,
Marlow,70.5,09:19:00,11:00:00,09:18:00,09:36:00,,09:12:00,09:14:00,09:54:00,,10:13:00,09:56:00,09:51:00,10:23:25
Cookham,74.5,09:59:00,,09:50:00,10:09:00,,09:43:00,,10:30:00,,,10:30:00,,
Boultors,76.5,10:02:00,11:45:00,10:05:00,10:24:00,,09:55:30,10:00:00,10:47:00,,11:09:00,10:49:00,,
Bray,79,10:15:00,,10:30:00,10:48:00,,10:11:30,,11:13:00,,,11:15:00,,11:39:22
Romney,84.5,10:51:00,,11:01:00,11:20:00,,10:50:00,10:54:00,11:48:00,,,11:51:00,,
Old Windsor,87,11:13:00,13:05:00,11:21:00,11:42:00,11:30:00,11:11:00,11:17:00,12:11:00,,12:32:00,12:20:00,,12:47:20
Bell,88.5,,13:25:00,11:43:00,12:03:00,,11:30:30,11:37:00,12:33:00,,12:53:00,12:45:00,,
Penton Hook,93,11:50:00,13:50:00,11:59:00,12:24:00,,11:50:00,11:57:00,12:57:00,,13:18:00,13:08:00,,
Chertsey,95,,14:10:00,12:14:00,12:38:00,,12:04:00,12:12:00,13:13:00,,13:33:00,13:25:00,,
Shepperton,97,12:13:00,14:50:00,12:27:00,12:53:00,12:43:00,12:18:00,12:26:00,13:29:00,,13:50:00,13:41:00,,14:12:35
Sunbury,100,12:33:00,15:10:00,12:48:00,13:14:00,,12:38:00,12:49:00,13:51:00,,,,,
Molsey,103,12:54:00,15:50:00,13:08:00,13:40:00,,12:58:00,13:10:00,14:14:00,,14:40:00,14:32:00,,
Teddington,108,13:30:00,15:50:00,13:42:00,14:20:00,13:56:00,13:32:00,13:45:00,14:53:00,14:56:00,15:23:00,15:13:00,,15:52:50
Westminster,125,15:17:00,17:50:00,15:34:00,16:15:00,15:42:00,15:19:00,15:39:00,16:51:00,16:56:00,17:22:00,17:22:00,,18:08:06
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
